Messages,Lang
0 помощи ,RUSSIAN
а ты смешной,RUSSIAN
типаешь всех,RUSSIAN
????,[]
CОЛО НАХУЙ ,RUSSIAN
а у самого трон падает,RUSSIAN
СОСАТЬ ,RUSSIAN
+ ,[]
ЛЕЖАТЬ ,RUSSIAN
1 19,[]
но за то типает АХХАХА,RUSSIAN
NORMSA,ENGLISH
LMAOO,ENGLISH
g end 1 lane,ENGLISH
im afk,ENGLISH
nice end,ENGLISH
this wr so luicky,ENGLISH
hahah,SPANISH
end huh,ENGLISH
ok,ENGLISH
fucked her hard in mid,ENGLISH
we make u suffer now,ENGLISH
but good team mates,ENGLISH
i literally have 12 denies,ENGLISH
i have 20,ENGLISH
you spamming spells as mid ,ENGLISH
keep dreaming,ENGLISH
u cant even stand in front of me,ENGLISH
hero natrure,SPANISH
will see you later,ENGLISH
buddy,ENGLISH
END,ENGLISH
NOIW,ENGLISH
?,[]
OK,ENGLISH
yawns,ENGLISH
boy thinks using 2 skill makes him good mid,ENGLISH
auto hit,SPANISH
way lami,ENGLISH
ГГ соло,RUSSIAN
вау чмошник,RUSSIAN
рот твой ебал,RUSSIAN
так ты слабый,RUSSIAN
дк ты чё такой агресивный,RUSSIAN
),[]
"пусть сносят, у нас всё слито в салат",RUSSIAN
не умеете срать не мучайте анус,RUSSIAN
сила 50%,RUSSIAN
боми,RUSSIAN
бомжи,RUSSIAN
западня габена,RUSSIAN
я тебе за смурф кинул не переживай выродок,RUSSIAN
ажпззхъпыъа,RUSSIAN
я не смурф,RUSSIAN
сын черта поганого,RUSSIAN
к сожалению,RUSSIAN
да кокой смурф,RUSSIAN
к,RUSSIAN
боже,RUSSIAN
рампагу,RUSSIAN
не сломаем,RUSSIAN
пока не дадите рампагу,RUSSIAN
рил говорю,RUSSIAN
я мамку твою сломаю пополам,RUSSIAN
удачи,RUSSIAN
пойду сериал посмотрю,RUSSIAN
haha,ENGLISH
похуй,RUSSIAN
скучно таким слабым,RUSSIAN
рампаги делать,RUSSIAN
в след катке тебя ждет обратная ситуация,RUSSIAN
ХД,RUSSIAN
уверен в этом,RUSSIAN
100500% ,[]
оке,RUSSIAN
ez,SPANISH
дк,RUSSIAN
ты хуйню делал,RUSSIAN
всю игру,RUSSIAN
так что ты просто слабый,RUSSIAN
NO ME AND HARARI PL ,ENGLISH
то есть ты хуйта на зевсе заруинил игру и не пошёлв мид некст да ,RUSSIAN
азахахахах,RUSSIAN
0 10 дазл 3 это сильно,RUSSIAN
а ты в игре был ,RUSSIAN
я просто не видел,RUSSIAN
как там пугну убил хоть разок,RUSSIAN
АНЛАК ЗУСИК,RUSSIAN
зато ранг 200),RUSSIAN
gg,ENGLISH
sf no item,ENGLISH
sad,SPANISH
gg,ENGLISH
EZ TOP HAHAHA,SPANISH
gg ez,SPANISH
clown on offlane,ENGLISH
wow,ENGLISH
prop layer,ENGLISH
GG,ENGLISH
спс за ману,RUSSIAN
"другЮ первая катка на морфе, не мучай",RUSSIAN
gank him,ENGLISH
tiny salty?,ENGLISH
"at the end, please report tiny..",ENGLISH
hes so bad too ahhaah,ENGLISH
ikr..,ENGLISH
wat happened,ENGLISH
mercy,ENGLISH
...,[]
FF,ENGLISH
FF,ENGLISH
rude,ENGLISH
ff,ENGLISH
any report ?,ENGLISH
ff,ENGLISH
what a waste of a game,ENGLISH
he got shit on top,ENGLISH
maybe opponent was his friend,ENGLISH
Gg,ENGLISH
and thats it..,ENGLISH
*badly,ENGLISH
a hard game,ENGLISH
and he just goes full toxic,ENGLISH
ez am offlane,ENGLISH
lucky free mmr,ENGLISH
guys ,ENGLISH
gg,ENGLISH
yerp,SPANISH
gg,ENGLISH
its gg guys,ENGLISH
gg!,ENGLISH
end plkz,SPANISH
my eyes,ENGLISH
my team mates are noobs gg,ENGLISH
Ez mid,SPANISH
vry ez,ENGLISH
DAMN RIGHT ,ENGLISH
this dk got mkb secord core item,ENGLISH
gg,ENGLISH
i know,ENGLISH
lol,SPANISH
for what,ENGLISH
Dk,ENGLISH
ez mmr pota,SPANISH
sana all,SPANISH
srry,ENGLISH
we end?,ENGLISH
??,[]
why me,ENGLISH
heyy pa,ENGLISH
what happen?/,ENGLISH
sad,SPANISH
pa lose mid,ENGLISH
your dradft vs  our draft,ENGLISH
sad,SPANISH
PA so noob,SPANISH
удачной игры,RUSSIAN
и тебе,RUSSIAN
"главное получить удовольствие, победа не важна",RUSSIAN
АХХА,RUSSIAN
"Иди на хуй, пидор",RUSSIAN
ОЛЕЖКА,RUSSIAN
не матери,RUSSIAN
у тебя ее нет,RUSSIAN
не матерись,RUSSIAN
пожалуйста,RUSSIAN
Она в порту осталась,RUSSIAN
ладно,RUSSIAN
Извини,RUSSIAN
"примите бога внутри себя, и отчима внутрь себя",RUSSIAN
ахаха хорош,RUSSIAN
кущать,RUSSIAN
покушает,RUSSIAN
подождите,RUSSIAN
окей,RUSSIAN
быстро ты,RUSSIAN
ну ты с кайфом на пудже поиграл),RUSSIAN
Похукал там че каве),RUSSIAN
гг,RUSSIAN
??????,[]
))),[]
),[]
по репорту хуесосу,RUSSIAN
https://www.twitch.tv/yooopioneer,ENGLISH
[FSDGA[SADF[AFSD,ENGLISH
не позорься,RUSSIAN
3 9,[]
невезуха,RUSSIAN
оплеуха,RUSSIAN
кто пидорас?,RUSSIAN
я,RUSSIAN
твой отец,RUSSIAN
вы вообще играли ??,RUSSIAN
слабые,RUSSIAN
ты в курсе что мы играем 3 в 7?,RUSSIAN
друг,RUSSIAN
ты что,RUSSIAN
я соло вас ебу,RUSSIAN
как он может быть в курсе?,RUSSIAN
он же не видит,RUSSIAN
он снайпер,RUSSIAN
целится одним глазом,RUSSIAN
выживал среди зондбаков ,RUSSIAN
а второй отчим хуем уебал,RUSSIAN
изи,RUSSIAN
содо,RUSSIAN
уя,RUSSIAN
ez,SPANISH
сбить кларити это важно,RUSSIAN
молодец,RUSSIAN
тебе хана арк,RUSSIAN
всем,RUSSIAN
-1,[]
я знаю,RUSSIAN
ПАПА,RUSSIAN
ez,SPANISH
ахахахахаха,RUSSIAN
gl and hf all,ENGLISH
lil smurfing,ENGLISH
kekl,SPANISH
ez report,ENGLISH
lol ur just nub,ENGLISH
why you talking,ENGLISH
talking to am not you,ENGLISH
i just want to,ENGLISH
ur noob ,ENGLISH
shoosh now,ENGLISH
so stfu,ENGLISH
ur an archon,ENGLISH
lol,SPANISH
see,ENGLISH
?,[]
u got saved,ENGLISH
nah im too strong,ENGLISH
Ez mid btw,ENGLISH
yeh bought account,ENGLISH
"dont be cocky, you are  a shit voker",ENGLISH
XD,SPANISH
too ez,ENGLISH
shocking,ENGLISH
playing your most played hero and calling ez,ENGLISH
HAHAH,SPANISH
too ez,ENGLISH
XD,SPANISH
ez mid,SPANISH
voker started talking when the game was over :),ENGLISH
nah,ENGLISH
it was ez,ENGLISH
yeh voker average,ENGLISH
even though he didnt bring anything to the win,ENGLISH
before it even started,ENGLISH
tornado emp voker talking trash,ENGLISH
hahaha,SPANISH
изи,RUSSIAN
с бустером?)))),RUSSIAN
днище на коре у вас играет,RUSSIAN
gg,ENGLISH
end,ENGLISH
No def from me,ENGLISH
^^,[]
ez,SPANISH
EZ GAME,ENGLISH
^^,[]
EZ,SPANISH
report NS,ENGLISH
^^,[]
comend alche?,SPANISH
Xd,SPANISH
xD,SPANISH
AEA,ENGLISH
yA?,SPANISH
Ez,SPANISH
eZ P,SPANISH
a comenzar las clases bien p,SPANISH
COMEND ALCHE,SPANISH
BNOSTING,ENGLISH
.v,ENGLISH
LLORON DE SK,SPANISH
血色浪漫？,CHINESE
\ue13e,SPANISH
\ue141,SPANISH
пули у бабуле,RUSSIAN
вы не крутые чуваки,RUSSIAN
а теперь запомните,RUSSIAN
вы чушпаны,RUSSIAN
вы не крутые,RUSSIAN
нет,RUSSIAN
и вы тупые,RUSSIAN
тебя отшили,RUSSIAN
тебя пиздят на районе,RUSSIAN
это мой братан ,RUSSIAN
магнус а теперь запомни,RUSSIAN
ты теперь чушпан,RUSSIAN
ты ебанько,RUSSIAN
ты теперь не в лп,RUSSIAN
а кругом мужики,RUSSIAN
да сносите,RUSSIAN
я ебал это игратть,RUSSIAN
зачем,RUSSIAN
когда за меня такие,RUSSIAN
крутые чуваки,RUSSIAN
жа ты сам еблан,RUSSIAN
на венге не может 1 скилл кинуть,RUSSIAN
чтобы я кинул дисперс и мы бы убежали,RUSSIAN
у тебя 2 очень крутых чувака,RUSSIAN
не заслужил сосунок,RUSSIAN
самый умный игрок роблокса,RUSSIAN
бф на 25,RUSSIAN
твоя мамаша,RUSSIAN
на венге говорит что он пришел другу лп отмыть,RUSSIAN
его друг лучше него играет сука,RUSSIAN
это правда,RUSSIAN
поебать,RUSSIAN
я увидел своего мидера ,RUSSIAN
и че,RUSSIAN
?,[]
я те так то соло тащу,RUSSIAN
нее,RUSSIAN
а ты ж соло,RUSSIAN
16 смертей,RUSSIAN
ты на своих 2 додиков посмотри,RUSSIAN
крутых чуваков,RUSSIAN
да они то понятно,RUSSIAN
они крутые,RUSSIAN
но у чела 700 матчей,RUSSIAN
да ты сын ,RUSSIAN
он на их уровне играет,RUSSIAN
соло,RUSSIAN
ff,ENGLISH
AHAHHA,SPANISH
best morph ever,ENGLISH
funny,ENGLISH
pinoys,ENGLISH
cant never imagining being 3rd world animal,ENGLISH
too ez,ENGLISH
encha+joker,SPANISH
mid different,ENGLISH
perfect actor pinoys,ENGLISH
?,[]
ROFL,SPANISH
Say thank to slark,ENGLISH
dont mind this morp,ENGLISH
good hg,ENGLISH
just some trash carry who act like he carried the team,ENGLISH
ez,SPANISH
lol,SPANISH
ezzzzzz,ENGLISH
РЕПОРТ ЛИВЕРАМ!,RUSSIAN
ы,RUSSIAN
к,RUSSIAN
магнуса и лансера через сти по 100 игр бан,RUSSIAN
почему,RUSSIAN
а нахуй ты меня фокусишь?,RUSSIAN
ГГ ,RUSSIAN
по репоту гусенице ,RUSSIAN
магнус соло,RUSSIAN
COMOUNTER PIC KSI IDOL,ENGLISH
AHAH,ENGLISH
xd,SPANISH
oh smurcf,SPANISH
WP,ENGLISH
WE DONT HAVE CARRY AHAHA,ENGLISH
GO END,SPANISH
GANK ZEUS BA ,ENGLISH
TAN,SPANISH
TANG IAN NIYO,ENGLISH
GG,ENGLISH
aw,ENGLISH
mALAS SA KASAMA TANG INA ,SPANISH
pick tinker after  me ?,ENGLISH
trash,ENGLISH
MALAS LANG SAA KASAMA TANG INA KA ,ENGLISH
BOBO KA NAMAN MAG MID ,ENGLISH
2-0 AT MID EZ,SPANISH
aw,ENGLISH
BH CARRY TAPOS LION AFK ,ENGLISH
7 29 yeah ez,ENGLISH
atc like pro ?,ENGLISH
ABA IWAN KO LANG HINDI KAPA MANALO ,SPANISH
AHAHAH,SPANISH
MORPH NIYO BOBO DIN MAG LARO ,ENGLISH
alien talk in human language,ENGLISH
LAAMNG LANG SA HERO ,ENGLISH
COUNTER PICK NA NGA AKO OH 2 HERO,ENGLISH
NS AT ZEUS ,ENGLISH
counter pick,ENGLISH
HINDI APRIN KLAYA E END?,SPANISH
already 1st pick ?,ENGLISH
bro he first pick zeus,ENGLISH
counter ?,ENGLISH
u last pick,ENGLISH
idiot,ENGLISH
hahah,SPANISH
HAHAHA ROFL,SPANISH
BH CARRY AHAHA,ENGLISH
lmao,ENGLISH
IWAN KO ALNG HINDI PA KAYO MANALO ,ENGLISH
TWO COUNTER TAPOS BH CAARRY PA AHAHA,ENGLISH
AHAHAHA,SPANISH
XIXIX,SPANISH
END?,ENGLISH
Talik human language,ENGLISH
u alien fuck,SPANISH
dont cry,ENGLISH
AW,ENGLISH
34 MISN ONLY BOOTS LION HAHAH TANG INA YAN,ENGLISH
IZI,ENGLISH
АХАХЪАХ,RUSSIAN
пизда я рот вкачал,RUSSIAN
охуеть,RUSSIAN
рот он качал,RUSSIAN
пиздабол,RUSSIAN
))),[]
а я пасивку,RUSSIAN
я падж мне можно,RUSSIAN
куда отвод на шамане,RUSSIAN
я и так пушу,RUSSIAN
лайн,RUSSIAN
хули ты типаешь,RUSSIAN
долбаеб,RUSSIAN
дебил,RUSSIAN
??,[]
тебя че слабо пиздят?,RUSSIAN
а где вы,RUSSIAN
в таве,RUSSIAN
GG,ENGLISH
ez game,ENGLISH
solo,SPANISH
сук,RUSSIAN
думал умрешь,RUSSIAN
?,[]
разьеб,RUSSIAN
АХАХХАХА,RUSSIAN
ЭТО МОИ ПАЦАНЫ,RUSSIAN
ez,SPANISH
wait,ENGLISH
ахвыхавыхахыв,RUSSIAN
Яхавыхаывх,RUSSIAN
?,[]
Чел,RUSSIAN
мясо,RUSSIAN
ахвыахыв,RUSSIAN
ваахвхахва,RUSSIAN
вхахахваххав,RUSSIAN
мясо,RUSSIAN
ГЕНИЙ НА БЕЙНЕ,RUSSIAN
АХАХАХАХ,RUSSIAN
ГУЛЯ НЕ УСПЕЛ ЗА ЖЁПУ СХВАТИТЬ,RUSSIAN
хаахахах сука,RUSSIAN
чет вы легкие гайс ,RUSSIAN
фф жмайте ,RUSSIAN
гайс,RUSSIAN
я навеселился ,RUSSIAN
),[]
момент,RUSSIAN
гайсы хаюхай,RUSSIAN
АХАХАХАХАХАХАХ,RUSSIAN
ХАХАХАХАХАХ,RUSSIAN
дауны,RUSSIAN
hahha,SPANISH
hah,ENGLISH
4bot，ever,ENGLISH
sad,SPANISH
patay,ENGLISH
naunsa ragud mo ,SPANISH
6 vs 4 lage,ENGLISH
inyo pudge,ENGLISH
d japon mo kadaog,SPANISH
Yawa,ENGLISH
feeling,ENGLISH
mga bugo man gihapon,SPANISH
SUKL,ENGLISH
suko,ENGLISH
g kulating man sa top,ENGLISH
dako kayg o ang sigi rag pa buhat anng  ember haha,ENGLISH
inyo nani among pudge,ENGLISH
wa mani buot ,ENGLISH
mo iyot lang gihapon og 2D,ENGLISH
mag lolo mag fantasize ga iyot og 2D,ENGLISH
AHGAHGAHAHHAHAAHHAHAHAHAHAH ,SPANISH
baliha inyong monitor ba,ENGLISH
hah,ENGLISH
ganhan kam doul nako hahah,ENGLISH
ezz,ENGLISH
mga bogo,SPANISH
PUDGE BUGOK,ENGLISH
KIdos,SPANISH
gg,ENGLISH
JAGHAGHAHAHA ,SPANISH
)),[]
gg,ENGLISH
"Брат, ты на отскоки души продал?",RUSSIAN
xd,SPANISH
f[[dasf[asdf[asdfa[,SPANISH
ты просто,RUSSIAN
тимберсоу,RUSSIAN
понимаешь,RUSSIAN
никак,RUSSIAN
ВАХВАХВАХВЫАХ,RUSSIAN
лиону репорт?,RUSSIAN
лиону репорт,RUSSIAN
+,[]
+,[]
не хочшеь играть не заходи,RUSSIAN
уебище утпое,RUSSIAN
ломайте плз,RUSSIAN
не гоняйтесь,RUSSIAN
ок,RUSSIAN
ОД отомстил)),RUSSIAN
говорили же не гоняйтесь,RUSSIAN
)))))),[]
ну вы дуфаете,RUSSIAN
или че? ,RUSSIAN
нет,RUSSIAN
твари,RUSSIAN
говорим же пуште и нас не трогайте,RUSSIAN
я афк,RUSSIAN
вот опять убили,RUSSIAN
"блин вы тупее чем луна на ласт пик , идити в мид уже",RUSSIAN
завали ебало,RUSSIAN
хуйло ебучие,RUSSIAN
на ОД,RUSSIAN
вы сами дефать начали,RUSSIAN
проебал зевсу,RUSSIAN
какой же лс,RUSSIAN
аж бесишь поэтому хочется отпиздить теюя,RUSSIAN
за твою команду,RUSSIAN
сегодня уроков нет,RUSSIAN
???,[]
козлы,RUSSIAN
ахахах,RUSSIAN
?,[]
изи,RUSSIAN
)))))))))),[]
)))))),[]
пока пидоры,RUSSIAN
ты толи на скриптах уебок,RUSSIAN
"ты даже не повернулся, а уже колд снап кинул",RUSSIAN
уебище,RUSSIAN
ты?,RUSSIAN
че,RUSSIAN
ты далбаеб,RUSSIAN
какие блять скрипты на доту,RUSSIAN
1 к 1,RUSSIAN
ты так и не ответил,RUSSIAN
черт хитрый,RUSSIAN
"ну ясно, инвок криво юзает скрипты",RUSSIAN
ты просто далбаеб,RUSSIAN
просто иди нахуй,RUSSIAN
просто ты нуб,RUSSIAN
так что ,RUSSIAN
завали ебало,RUSSIAN
где инвок на скриптах то?,RUSSIAN
че загасился то,RUSSIAN
мне кажеться у тебя не рак пизды,RUSSIAN
а рак мозга,RUSSIAN
а тебя ебет? С чего вдруг ты за него говоришь то,RUSSIAN
да потому что ты заебал,RUSSIAN
выблядок,RUSSIAN
1 раз написалээ,RUSSIAN
"нихуя не аргумент, скорее чушь",RUSSIAN
ты хуйню несешь,RUSSIAN
нахуй ты постоянно это пишешь,RUSSIAN
если бы он играл с читами,RUSSIAN
а тебя ебет?,RUSSIAN
его бы уже забанило,RUSSIAN
у тебя альцгеймер?,RUSSIAN
или ты просто аутист?,RUSSIAN
"БЛЯ, чел. Твы его мама что ли?",RUSSIAN
бабушка,RUSSIAN
"осел ты, а не бабушка",RUSSIAN
ок,RUSSIAN
ты просто даун,RUSSIAN
который репорт получит,RUSSIAN
пиши дальше,RUSSIAN
мм,RUSSIAN
ты еблан чел если за него говоришь,RUSSIAN
+реп,RUSSIAN
кста вы отсосали,RUSSIAN
изи,RUSSIAN
"вместо того что бы пиздеть, ты лучше бы играл",RUSSIAN
GG ебланы,RUSSIAN
опять он за меня ,RUSSIAN
это че нахуй такое ,RUSSIAN
почему он за меня ебана рот.,RUSSIAN
дазл брат,RUSSIAN
ты про кого,RUSSIAN
да есть тут один ,RUSSIAN
фрукт,RUSSIAN
ВЫ ЧЁ,RUSSIAN
медуза счет пушка,RUSSIAN
),[]
jidi ,SPANISH
6级赏金,CHINESE
0-6-1的  火猫   被小跑点着急了    在这瞎几把交换,CHINESE
小炮？严查！,CHINESE
什么成分？,CHINESE
垃圾,CHINESE
举报JS,CHINESE
被打包,CHINESE
L狗？,CHINESE
配赢？,CHINESE
还有个   处引导   打野的傻逼隆起,CHINESE
下把奖励小强辅助你,CHINESE
5分钟6级的赏金,CHINESE
这英雄就不配打4,CHINESE
你们真是异地真言啊,CHINESE
我威胁这么大的吗,CHINESE
心态太容易炸了,CHINESE
我在非，也只是个酱油,CHINESE
没想到你么你心态炸了,CHINESE
我打的3,CHINESE
想不到吧,CHINESE
REPORT SK THANKS,ENGLISH
why? sk good,ENGLISH
REALLY?,ENGLISH
yea,ENGLISH
希望下一局你能遇见SK支持你,CHINESE
I hope you can meet SK to support you in the next round,ENGLISH
ok,ENGLISH
we will take u sk,ENGLISH
feeder lina,ENGLISH
END,ENGLISH
REPORT LINA THANKS,ENGLISH
Why did he choose LINA first,ENGLISH
y u keep blaming ur team,ENGLISH
choose LINA first,ENGLISH
really,ENGLISH
yes,ENGLISH
Ez bugatti,SPANISH
GG,ENGLISH
GGs,ENGLISH
noob nyx btw,ENGLISH
ааа,RUSSIAN
ну и кто и звас хуесос,RUSSIAN
BANANA,ENGLISH
SLAMMA JAMAAAA,ENGLISH
sad,SPANISH
gg,ENGLISH
end,ENGLISH
Why huhu,ENGLISH
end,ENGLISH
go end mid ,SPANISH
why,ENGLISH
y?,ENGLISH
yaq,SPANISH
causei m noob,ENGLISH
so end mid ,SPANISH
we wont def,ENGLISH
pvp bot,ENGLISH
funny kayka dirk,ENGLISH
yaya we r bot,ENGLISH
go end thx,SPANISH
please play,ENGLISH
END PLS,ENGLISH
GG,ENGLISH
?,[]
idiots,ENGLISH
kaya pana,SPANISH
easy,ENGLISH
BG,ENGLISH
Def,ENGLISH
BADGAME,ENGLISH
HAHH,SPANISH
BGBG,ENGLISH
gg,ENGLISH
gg,ENGLISH
joke,ENGLISH
gg,ENGLISH
why],ENGLISH
dont lose pls,ENGLISH
bb pls,ENGLISH
ez mid,SPANISH
lose for?,ENGLISH
CHINESE CARRY ,ENGLISH
WCYD,ENGLISH
tubicvk,SPANISH
gg ez,SPANISH
rubick,ENGLISH
dont lose pls,ENGLISH
you act so tough,ENGLISH
in lane,ENGLISH
why gusy,ENGLISH
dont lose la,ENGLISH
gg,ENGLISH
only rp and skwer,ENGLISH
?,[]
Фура,RUSSIAN
Рыбачишь?,RUSSIAN
нет,RUSSIAN
с чего ты взял ?,RUSSIAN
Да так,RUSSIAN
гниль,RUSSIAN
Плесень,RUSSIAN
иди нпхуй,RUSSIAN
джура,RUSSIAN
АХАХАХАХАХАХ,RUSSIAN
"РазвёЛ, как маленькую девочку на секс",RUSSIAN
SOLO?,SPANISH
А почему 1 фармлинг?,RUSSIAN
ахахах,RUSSIAN
как дела,RUSSIAN
гниль,RUSSIAN
ласт пик хускар,RUSSIAN
),[]
чтобы глупости в голову не лезли,RUSSIAN
уникал,RUSSIAN
SOLO?,SPANISH
???,[]
ahahaha,SPANISH
GG,ENGLISH
next,ENGLISH
GG WP,ENGLISH
WIPE OUT,ENGLISH
EZ,SPANISH
OK SIR,ENGLISH
hahaha cute,SPANISH
trashtalk i see,ENGLISH
lol rubick mid only but picked pugna,ENGLISH
lol still legend,ENGLISH
archon*,ENGLISH
animal rank,ENGLISH
rubick only but picked pugna xD,SPANISH
archon DX,ENGLISH
:),[]
xD,SPANISH
one team wipe and talks cock lol,ENGLISH
yes legends,ENGLISH
2024,[]
still legend,ENGLISH
u ancient no better dude,ENGLISH
DX,ENGLISH
noob luna came mid and die solo haha,SPANISH
cute,ENGLISH
^^,[]
dont cry,ENGLISH
rubick mid only but picked pugna xD,SPANISH
xd,SPANISH
not a man of ur words?,ENGLISH
hee,ENGLISH
dendi,SPANISH
noobs,ENGLISH
oh,ENGLISH
tapos na?,SPANISH
hahahahaha,SPANISH
legend lang kasi kayo,ENGLISH
GGWP salahat,ENGLISH
mga 0 iq,SPANISH
wait cr lng,ENGLISH
walang bb?,ENGLISH
keyboard broken?,ENGLISH
farm ka boong game,ENGLISH
pignoise no wonder soo noisy,ENGLISH
i dont speak subhuman language,ENGLISH
un lang jugg?,ENGLISH
MGA LOWRANK,ENGLISH
0 iq players,ENGLISH
ur president name is bong bong,ENGLISH
MGA BOBO,SPANISH
LOWRANKS,ENGLISH
low ranks,ENGLISH
what a joke,ENGLISH
NOOB,SPANISH
BONG BONG,ENGLISH
DDX,ENGLISH
smurf ko mas mataas pa sa rank nyo,ENGLISH
TINY,ENGLISH
TIP ME PLS,ENGLISH
Tangina,ENGLISH
USELESS,ENGLISH
dota pa,SPANISH
IDIOT,ENGLISH
NOOB,SPANISH
hahaha,SPANISH
DOG,ENGLISH
SUCKMYDICK,ENGLISH
so mad,SPANISH
PLS,ENGLISH
archon,ENGLISH
TY,ENGLISH
NOOB,SPANISH
NOOB,SPANISH
def ?,ENGLISH
cary midel 0 ,ENGLISH
ty for u def  sladar,SPANISH
never,ENGLISH
Insane Meepo Player,ENGLISH
gg,ENGLISH
GG,ENGLISH
GG,ENGLISH
ez mid ez game ,SPANISH
喜欢不,CHINESE
装备已经A了，你们随便打，我不守,CHINESE
可,CHINESE
打的好累,CHINESE
那我陨星锤；额,CHINESE
一个沉默，一个火枪，大哥都没空做点金，他们选出来做点金，有毒吧是,CHINESE
五号位火枪,CHINESE
没办法,CHINESE
上一把我也遇到了,CHINESE
4号位裸点金的,CHINESE
耽误时间简直,CHINESE
),[]
ебите клинса,RUSSIAN
не вступлюсь,RUSSIAN
ez,SPANISH
пикните хусика,RUSSIAN
хахах,RUSSIAN
хахаха,RUSSIAN
вот те и фп арк с миппо,RUSSIAN
гг,RUSSIAN
GG,ENGLISH
найс контролишь на миппо,RUSSIAN
GG,ENGLISH
well ,ENGLISH
ez,SPANISH
gg,ENGLISH
l;ucker,ENGLISH
gg,ENGLISH
report huskar pls,ENGLISH
...,[]
lmao,ENGLISH
ez mid ,SPANISH
gg,ENGLISH
super ez mid,SPANISH
gg,ENGLISH
run down mid,ENGLISH
the game not evens start but we know we lose,ENGLISH
Fvk this quie runout,ENGLISH
scared/,ENGLISH
lol,SPANISH
no one reallty care,ENGLISH
tbh,ENGLISH
u wp,ENGLISH
hi dog,ENGLISH
gj shaman,SPANISH
bot player nyx,ENGLISH
Creeps dobble killed,ENGLISH
bye nyx,ENGLISH
Wtf,ENGLISH
zzzz,ENGLISH
ahaha,ENGLISH
lol,SPANISH
haha,ENGLISH
this nyx,ENGLISH
end ,ENGLISH
haha,ENGLISH
gg,ENGLISH
nt,ENGLISH
ggwp,ENGLISH
nyx huanting u,ENGLISH
idiots,ENGLISH
ez?,SPANISH
pro nyx,ENGLISH
dagan tel,SPANISH
ejot,ENGLISH
galing ng carry nyo,ENGLISH
yep,ENGLISH
mid spec,SPANISH
to counter tinker,ENGLISH
idiots,ENGLISH
lmao,ENGLISH
offlane Ember HAHAHAHA,ENGLISH
typical sea,ENGLISH
DEF,ENGLISH
DEF,ENGLISH
DIFF RAZOR,ENGLISH
PANINGKAMOT OG DIFF TEL,ENGLISH
WHY DEF ,ENGLISH
english please,ENGLISH
as if,ENGLISH
SABA MARCI ENGLISH SA IMONG MATA BISDAK NMO,SPANISH
DEF,ENGLISH
ANDITO NA SI CHITO,SPANISH
SI CHITO POTANG ENA MO,SPANISH
EJOTTTTTTTTTS,ENGLISH
"Чё там пацы, как дела?",RUSSIAN
У нас больше,RUSSIAN
нахуй иди,RUSSIAN
даун,RUSSIAN
Почему?,RUSSIAN
так грубо,RUSSIAN
просто,RUSSIAN
Ты грубиян какой?,RUSSIAN
жаль очередной аккаунт улетит),RUSSIAN
да друглаек?,RUSSIAN
киньте репорт салу,RUSSIAN
игру руинит,RUSSIAN
смерть хохлам),RUSSIAN
нация рабов,RUSSIAN
0)),[]
видать ракета все таки прилетела),RUSSIAN
вы,RUSSIAN
ну,RUSSIAN
дауни,RUSSIAN
на,RUSSIAN
союзниках,RUSSIAN
типает,RUSSIAN
меня,RUSSIAN
2,[]
кора,RUSSIAN
в таверне,RUSSIAN
цм,RUSSIAN
В топе,RUSSIAN
нас,RUSSIAN
5,[]
у них,RUSSIAN
0 дм,RUSSIAN
по роше,RUSSIAN
они,RUSSIAN
Хуярят,RUSSIAN
секунд,RUSSIAN
50,[]
рошана,RUSSIAN
он,RUSSIAN
меня,RUSSIAN
ты,RUSSIAN
лузаешь,RUSSIAN
игру,RUSSIAN
потомучто,RUSSIAN
у тебя,RUSSIAN
задержка,RUSSIAN
в мозге,RUSSIAN
в 4,RUSSIAN
пускай,RUSSIAN
ВЫ БЫ СЛЫШАЛИ ЧЕ ТУТ ПРОИСХОДИ,RUSSIAN
плз не пушьте ,RUSSIAN
я хочу еще послушать,RUSSIAN
gg,ENGLISH
funny pa,ENGLISH
30 min gg,ENGLISH
kalmhan mio putanginamo,SPANISH
Wtf,ENGLISH
Ez mid ez game,SPANISH
суки,RUSSIAN
7777,[]
idi naxuiy,ENGLISH
?????,[]
?????,[]
????,[]
?????,[]
чекай наших сапов,RUSSIAN
ебло,RUSSIAN
я тебя в миду отымел ,RUSSIAN
ты нахуй 0,RUSSIAN
похуй + похуй,RUSSIAN
ага,RUSSIAN
да,RUSSIAN
ок ,RUSSIAN
та кнахуй высираешь чето ,RUSSIAN
ты слишком мвыебываешься,RUSSIAN
да ,RUSSIAN
я плохо отыграл,RUSSIAN
но у мя тима сильнекй,RUSSIAN
твоей,RUSSIAN
само собой,RUSSIAN
ты нанаших сапов посмотри ,RUSSIAN
1yjhv,ENGLISH
норм,RUSSIAN
саппы,RUSSIAN
инвокер кроме санстрайка ниче не кастует ,RUSSIAN
но всё равно,RUSSIAN
дохуя выебываешься,RUSSIAN
соло ,RUSSIAN
ВД 0 14 ,RUSSIAN
изи,RUSSIAN
как то ,RUSSIAN
изим мид,RUSSIAN
nob,SPANISH
lol,SPANISH
"okay, mr. pro",ENGLISH
nob,SPANISH
no,SPANISH
nob,SPANISH
this ES just roam and stuns then f off lmao,ENGLISH
noob,SPANISH
alulululu,ENGLISH
not u kill me,ENGLISH
alululu,ENGLISH
